Institution,Count AI,Count Systems,Count Theory,Count Interdisciplinary,score,ranking
Oregon State University,0.3036430568179788,-0.2740594972241707,0.09941455822078309,0.022301878438816425,2.867606748593624,52
Indiana University,-0.20601666299572535,0.10056880463376724,-0.07413240380563804,0.16885780767533293,2.705584297847953,54
University of Central Florida,0.1873992322838963,-0.1479362389285956,-0.2520171631301511,0.04434596898429566,2.5480985515496615,55
University of Rochester,0.3094534251921229,-0.2620151001751052,-0.10043189828952193,-0.1659639619888661,2.497349217078846,56
Michigan State University,0.3168280128873551,-0.38262502727487563,-0.16984232502263463,-0.09911892819830499,2.381548484731756,60
Rochester Institute of Technology,0.10237076982549909,-0.320403234078537,-0.14194343979545596,0.06521473335118573,2.421545581642908,58
University of Pittsburgh,0.18022660687081907,-0.09524100339977087,-0.1554680406772151,-0.23543783089004228,2.410386484244007,59
University of Texas at Dallas,0.3751754765638595,-0.32202427820411794,-0.04813844125182691,-0.27714504664070266,2.4441744628074282,57
Washington University in St. Louis,0.07923929511893768,-0.3161752713304642,-0.11209068203860001,-0.040268527050048845,2.327011567040041,61
University of Notre Dame,0.06816761082814776,-0.2509512876203384,-0.23613304764760323,-0.12740047975942562,2.1699895481409968,62
Univ. of California - Merced,-0.08827961531559018,-0.25139739992671106,-0.059279260591782734,-0.15937521749538297,2.1579752590107493,65
University of Delaware,-0.15982521604269173,-0.3088324893331731,-0.12299698005727756,0.034422153822995405,2.1590742207300693,64
University of Florida,-0.20640363505903414,-0.25156193134787874,-0.10953323303777684,0.010298100024116342,2.159106052919643,63
University of Texas at Arlington,0.026796016525722017,-0.14449233995621685,-0.23446573376443547,-0.22590703605713236,2.1382376590881536,66
University of Connecticut,-0.19199877276268884,-0.30431644019062487,-0.03670927412150475,-0.1267613298159764,2.0565209354494214,67
Binghamton University,-0.11442247992669764,-0.0961012677949916,-0.22619308815057704,-0.32723390987758544,1.9523560065903645,68
Clemson University,-0.4036923678353501,-0.4107636351959446,-0.22284064016456134,0.16429414718332896,1.8433042563276891,72
TTI Chicago,0.11801997040567748,-0.7935149331178181,0.00996963546057823,-0.18764008812446173,1.863141336964192,71
Vanderbilt University,-0.2771652190237369,-0.35509328068033436,-0.14441663011306538,-0.018097429735084623,1.921534192787995,69
Worcester Polytechnic Institute,-0.088509976996478,-0.4785751844967724,-0.22526054040382337,-0.018370920192654558,1.9055901302504878,70
California Institute of Technology,-0.17704101707888212,-0.60747326432766,0.07123260781178509,-0.1852601299850843,1.8177649487603749,73
College of William and Mary,-0.3983952275314896,-0.14227478705292376,-0.15343919421143848,-0.21436880596290514,1.8078287375814592,75
Dartmouth College,-0.2742004452849661,-0.6722878393822187,-0.03788704732009249,0.06713782780521076,1.7990692481581496,76
Florida State University,-0.4979008359641683,-0.23890703517211376,-0.008238784253191056,-0.2135586501173915,1.7577014468333516,79
Iowa State University,-0.1634707449840027,-0.34664686058356187,-0.12857257146960907,-0.28263594352733995,1.7949806317757027,77
Stevens Institute of Technology,-0.12400901153704094,-0.3475994404257856,-0.11645805522064825,-0.31930308890658377,1.8089371562501577,74
CUNY,-0.25563508056672835,-0.46295230536733706,-0.01797891284447794,-0.24607543093518594,1.733665022626487,82
Emory University,0.027989259767823273,-0.5255557337035032,-0.21702904125226674,-0.2794712179204381,1.7222400192318315,83
Georgetown University,-0.2277772369773673,-0.45620150318474517,0.07977558167526135,-0.4585109477842729,1.6535926460690922,87
NJIT,-0.2955027586972626,-0.23703298942770584,-0.12718275999817874,-0.31452603736721485,1.7420622068498541,80
Tufts University,-0.2965293250830939,-0.46264098834552003,-0.15211688567709936,-0.06942276143349468,1.7355967918010082,81
