Institution,Count AI,Count Systems,Count Theory,Count Interdisciplinary,score,ranking
Washington State University,-0.020282186948853614,-0.03439153439153439,-0.014991181657848324,-0.025573192239858905,1.6465300183771894,88
Brigham Young University,-0.021604938271604937,-0.03747795414462081,-0.016313932980599646,-0.01984126984126984,1.4702902106450322,103
George Washington University,-0.02821869488536155,-0.03262786596119929,-0.014109347442680775,-0.020282186948853614,1.5617078540815736,96
Lehigh University,-0.02204585537918871,-0.03791887125220458,-0.01675485008818342,-0.018518518518518517,1.5358300111436922,100
UNC - Charlotte,-0.02513227513227513,-0.03659611992945326,-0.016313932980599646,-0.017195767195767195,1.5667662876574873,95
University of Massachusetts Lowell,-0.02072310405643739,-0.03659611992945326,-0.015432098765432098,-0.022486772486772486,1.539820538534573,98
University of South Carolina,-0.021604938271604937,-0.03747795414462081,-0.016313932980599646,-0.01984126984126984,1.537881036875435,99
Wayne State University,-0.02072310405643739,-0.03659611992945326,-0.015432098765432098,-0.022486772486772486,1.5137239515917829,101
Augusta University,-0.02821869488536155,-0.03439153439153439,-0.012345679012345678,-0.020282186948853614,1.4093408978034712,112
Brandeis University,-0.018077601410934743,-0.03659611992945326,-0.01455026455026455,-0.02601410934744268,1.4373399180898605,106
Case Western Reserve University,-0.023809523809523808,-0.03527336860670194,-0.014991181657848324,-0.021164021164021163,1.3909010510405062,113
Drexel University,-0.021164021164021163,-0.037037037037037035,-0.014109347442680775,-0.02292768959435626,1.4331266996289886,107
Florida International University,-0.026455026455026454,-0.03439153439153439,-0.014109347442680775,-0.020282186948853614,1.4246896564997282,111
Portland State University,-0.026895943562610228,-0.034832451499118164,-0.012786596119929453,-0.02072310405643739,1.4308458376369755,109
Rensselaer Polytechnic Institute,-0.02072310405643739,-0.03659611992945326,-0.015432098765432098,-0.022486772486772486,1.4748033284659472,102
Univ. of Maryland - Baltimore County,-0.02072310405643739,-0.03659611992945326,-0.015432098765432098,-0.022486772486772486,1.4314716560015321,108
University of Iowa,-0.026895943562610228,-0.034832451499118164,-0.012786596119929453,-0.02072310405643739,1.4621674172146577,104
University of Louisiana - Lafayette,-0.026455026455026454,-0.03439153439153439,-0.014109347442680775,-0.020282186948853614,1.3538541448537331,116
University of New Hampshire,-0.02072310405643739,-0.03659611992945326,-0.015432098765432098,-0.022486772486772486,1.4273432225410672,110
University of North Texas,-0.02072310405643739,-0.03659611992945326,-0.015432098765432098,-0.022486772486772486,1.4562327194450362,105
Auburn University,-0.020282186948853614,-0.03527336860670194,-0.014991181657848324,-0.024691358024691357,1.2807790038690585,130
Boston College,-0.02204585537918871,-0.03791887125220458,-0.013227513227513227,-0.02204585537918871,1.3520179441373301,117
Colorado State University,-0.027777777777777776,-0.033950617283950615,-0.013668430335097001,-0.01984126984126984,1.2973006374952003,126
DePaul University,-0.027777777777777776,-0.033950617283950615,-0.013668430335097001,-0.01984126984126984,1.334283034187276,123
Kent State University,-0.027777777777777776,-0.033950617283950615,-0.013668430335097001,-0.01984126984126984,1.346510366896401,121
Michigan Technological University,-0.02821869488536155,-0.03439153439153439,-0.012345679012345678,-0.020282186948853614,1.3482379076559294,119
University of Arkansas,-0.02513227513227513,-0.03306878306878307,-0.012786596119929453,-0.024250440917107582,1.2894189495284178,128
University of Kansas,-0.026895943562610228,-0.03306878306878307,-0.012786596119929453,-0.022486772486772486,1.3573057244751638,114
University of Kentucky,-0.020282186948853614,-0.03527336860670194,-0.014991181657848324,-0.024691358024691357,1.3004571380230763,125
University of Memphis,-0.027336860670194002,-0.03527336860670194,-0.014991181657848324,-0.01763668430335097,1.3318528692812206,124
University of Nevada,-0.028659611992945325,-0.034832451499118164,-0.01455026455026455,-0.017195767195767195,1.3436327742527463,122
University of South Florida,-0.027777777777777776,-0.033950617283950615,-0.013668430335097001,-0.01984126984126984,1.346510366896401,120
University of Texas at San Antonio,-0.027777777777777776,-0.033950617283950615,-0.013668430335097001,-0.01984126984126984,1.3502139554944796,118
Virginia Commonwealth University,-0.02821869488536155,-0.03439153439153439,-0.012345679012345678,-0.020282186948853614,1.3559440543943728,115
Boise State University,-0.026895943562610228,-0.03306878306878307,-0.012786596119929453,-0.022486772486772486,1.1943652493569745,143
Cleveland State University,-0.026895943562610228,-0.03306878306878307,-0.012786596119929453,-0.022486772486772486,1.175014731248254,153
Georgia State University,-0.026895943562610228,-0.03306878306878307,-0.012786596119929453,-0.022486772486772486,1.2076269135625914,138
IUPUI,-0.027777777777777776,-0.033950617283950615,-0.013668430335097001,-0.01984126984126984,1.2566596736184907,132
Kansas State University,-0.026895943562610228,-0.03306878306878307,-0.012786596119929453,-0.022486772486772486,1.2879146665691052,129
Louisiana State University,-0.026895943562610228,-0.03306878306878307,-0.012786596119929453,-0.022486772486772486,1.2246300494125768,136
New Mexico State University,-0.025573192239858905,-0.03350970017636684,-0.013227513227513227,-0.02292768959435626,1.2008942114429437,141
Northern Arizona University,-0.027336860670194002,-0.03262786596119929,-0.013227513227513227,-0.02204585537918871,1.2137956445032099,137
Old Dominion University,-0.026895943562610228,-0.03306878306878307,-0.012786596119929453,-0.022486772486772486,1.1810550114733949,149
Texas State University,-0.026895943562610228,-0.03306878306878307,-0.012786596119929453,-0.022486772486772486,1.2932062800208222,127
Texas Tech University,-0.026895943562610228,-0.03306878306878307,-0.012786596119929453,-0.022486772486772486,1.260278996113331,131
UCCS,-0.025573192239858905,-0.03350970017636684,-0.013227513227513227,-0.02292768959435626,1.2457634958549053,133
University of Alabama - Birmingham,-0.026455026455026454,-0.03262786596119929,-0.012345679012345678,-0.023809523809523808,1.178730127603193,151
University of Hawaii at Manoa,-0.026895943562610228,-0.03306878306878307,-0.012786596119929453,-0.022486772486772486,1.193736599490286,144
University of Massachusetts Boston,-0.026895943562610228,-0.03306878306878307,-0.012786596119929453,-0.022486772486772486,1.2063854272476342,140
University of Nebraska - Omaha,-0.027777777777777776,-0.033950617283950615,-0.013668430335097001,-0.01984126984126984,1.2284699280082674,135
University of New Mexico,-0.0291005291005291,-0.03350970017636684,-0.013227513227513227,-0.019400352733686066,1.232107508089861,134
University of Vermont,-0.026895943562610228,-0.03306878306878307,-0.012786596119929453,-0.022486772486772486,1.2063854272476342,139
West Virginia University,-0.019400352733686066,-0.036155202821869487,-0.014109347442680775,-0.025573192239858905,1.18537691942094,147
Florida Atlantic University,-0.026895943562610228,-0.03306878306878307,-0.011022927689594356,-0.024250440917107582,1.160041996250309,154
Mississippi State University,-0.026455026455026454,-0.03262786596119929,-0.012345679012345678,-0.023809523809523808,1.1163039474037424,160
Naval Postgraduate School,-0.028659611992945325,-0.03218694885361552,-0.012786596119929453,-0.021604938271604937,1.1885073136066437,145
OHSU,-0.02601410934744268,-0.033950617283950615,-0.011904761904761904,-0.023368606701940034,1.0590993544149505,174
Ohio University,-0.027336860670194002,-0.03262786596119929,-0.013227513227513227,-0.02204585537918871,1.1367732583553787,158
Oklahoma State University,-0.026455026455026454,-0.03262786596119929,-0.012345679012345678,-0.023809523809523808,1.103932852243473,166
Saint Louis University,-0.026895943562610228,-0.03306878306878307,-0.012786596119929453,-0.022486772486772486,1.1992509744234425,142
The University of Alabama,-0.027777777777777776,-0.033950617283950615,-0.013668430335097001,-0.01984126984126984,1.1881248259400083,146
Towson University,-0.026455026455026454,-0.03439153439153439,-0.012345679012345678,-0.02204585537918871,1.1381117084194718,156
UNC - Greensboro,-0.026455026455026454,-0.03439153439153439,-0.012345679012345678,-0.02204585537918871,1.1081143192859537,163
University at Albany - SUNY,-0.026455026455026454,-0.03439153439153439,-0.012345679012345678,-0.02204585537918871,1.1081143192859537,164
University of Cincinnati,-0.02821869488536155,-0.031746031746031744,-0.012345679012345678,-0.02292768959435626,1.1233476788199555,159
University of Colorado - Denver,-0.028659611992945325,-0.03218694885361552,-0.012786596119929453,-0.021604938271604937,1.1151503459520218,161
University of Denver,-0.0291005291005291,-0.03439153439153439,-0.013227513227513227,-0.018518518518518517,1.0762654843774564,170
University of Michigan-Dearborn,-0.026455026455026454,-0.03262786596119929,-0.012345679012345678,-0.023809523809523808,1.178730127603193,150
University of Missouri,-0.026455026455026454,-0.03439153439153439,-0.012345679012345678,-0.02204585537918871,1.176758517272183,152
University of Nevada Las Vegas,-0.02821869488536155,-0.031746031746031744,-0.012345679012345678,-0.02292768959435626,1.0886831857068724,169
University of New Orleans,-0.02821869488536155,-0.031746031746031744,-0.012345679012345678,-0.02292768959435626,1.0540124897162193,176
University of Oklahoma,-0.026455026455026454,-0.03439153439153439,-0.012345679012345678,-0.02204585537918871,1.1374785060871946,157
University of Southern Mississippi,-0.026455026455026454,-0.03439153439153439,-0.012345679012345678,-0.02204585537918871,1.1081143192859537,162
University of Texas - El Paso,-0.02601410934744268,-0.033950617283950615,-0.011904761904761904,-0.023368606701940034,1.1051377453246232,165
University of Wisconsin - Milwaukee,-0.027777777777777776,-0.033950617283950615,-0.010141093474426807,-0.023368606701940034,1.0621691468861296,173
University of Wyoming,-0.0291005291005291,-0.03439153439153439,-0.013227513227513227,-0.018518518518518517,1.0762654843774564,171
Utah State University,-0.027336860670194002,-0.03262786596119929,-0.013227513227513227,-0.02204585537918871,1.155494003667182,155
Western Michigan University,-0.02821869488536155,-0.031746031746031744,-0.012345679012345678,-0.02292768959435626,1.0540124897162193,177
Wichita State University,-0.026895943562610228,-0.03306878306878307,-0.012786596119929453,-0.022486772486772486,1.1810550114733949,148
Air Force Institute of Technology,-0.02821869488536155,-0.03350970017636684,-0.012345679012345678,-0.021164021164021163,1.040863594536418,180
Florida Institute of Technology,-0.027777777777777776,-0.03306878306878307,-0.011904761904761904,-0.022486772486772486,1.0,186
Indiana State University,-0.027336860670194002,-0.03350970017636684,-0.01146384479717813,-0.02292768959435626,1.043984790757085,179
Missouri S&T,-0.02601410934744268,-0.033950617283950615,-0.011904761904761904,-0.023368606701940034,1.0473622115623071,178
Missouri University of Technology,-0.027777777777777776,-0.03306878306878307,-0.011904761904761904,-0.022486772486772486,1.0,188
Montana State University,-0.02821869488536155,-0.03350970017636684,-0.012345679012345678,-0.021164021164021163,1.0740054758276585,172
New Mexico Tech,-0.027777777777777776,-0.03306878306878307,-0.011904761904761904,-0.022486772486772486,1.0,187
Nova Southeastern University,-0.026455026455026454,-0.03350970017636684,-0.012345679012345678,-0.02292768959435626,1.0361777744692515,182
Oakland University,-0.02821869488536155,-0.031746031746031744,-0.012345679012345678,-0.02292768959435626,1.0540124897162193,175
SIU Carbondale,-0.027777777777777776,-0.03306878306878307,-0.011904761904761904,-0.022486772486772486,1.0,185
Southern Methodist University,-0.028659611992945325,-0.03218694885361552,-0.012786596119929453,-0.021604938271604937,1.0970832287323031,167
University of Alabama - Huntsville,-0.027777777777777776,-0.03306878306878307,-0.011904761904761904,-0.022486772486772486,1.0,189
University of Louisville,-0.02821869488536155,-0.03350970017636684,-0.012345679012345678,-0.021164021164021163,1.040863594536418,181
University of Miami,-0.028659611992945325,-0.03218694885361552,-0.012786596119929453,-0.021604938271604937,1.0970832287323031,168
University of Missouri - Kansas City,-0.026455026455026454,-0.03350970017636684,-0.012345679012345678,-0.02292768959435626,1.0361777744692515,184
University of Tulsa,-0.026455026455026454,-0.03350970017636684,-0.012345679012345678,-0.02292768959435626,1.0361777744692515,183
